datetime,temperature_2m,relative_humidity_2m,surface_pressure,precipitation,cloud_cover,wind_speed_10m,wind_direction_10m,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,hour,day,month,day_of_week,is_weekend,hour_sin,hour_cos,month_sin,month_cos,aqi_change_rate,aqi_lag_1h,aqi_lag_24h,aqi_rolling_mean_6h,aqi_rolling_std_6h,pm25_rolling_mean_6h
2025-11-05 09:00:00,19.95,68.81173,988.58575,0.0,0.0,7.9932976,352.23492,41.6,56.6,1248.0,26.9,11.2,71.0,124.71877,9,5,11,2,0,0.7071067811865476,-0.7071067811865475,-0.8660254037844386,0.5000000000000001,-0.0265162240055605,127.72919,176.30356,134.05555833333332,7.72944396688312,41.98333333333333
2025-11-05 10:00:00,22.0,57.404415,988.7609,0.0,0.0,7.8728137,349.46088,39.5,62.6,857.0,18.2,11.8,103.0,122.18751,10,5,11,2,0,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,-0.0235687689267606,124.71877,174.52379,130.21007666666665,6.712633449863752,42.16666666666666
2025-11-05 11:00:00,24.35,51.28432,988.5688,0.0,0.0,5.8409934,326.3099,38.9,73.8,544.0,11.1,12.2,129.0,119.80209,11,5,11,2,0,0.258819045102521,-0.9659258262890682,-0.8660254037844386,0.5000000000000001,-0.0202957405452491,122.18751,173.5476,126.83160833333336,5.794201443409973,41.86666666666667
2025-11-05 12:00:00,25.4,36.61628,987.97363,0.0,0.0,11.246759,309.8055,38.4,85.4,393.0,7.1,12.1,141.0,117.88542,12,5,11,2,0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,-0.0195226157303135,119.80209,172.95833,123.92188666666664,4.992848900403402,41.266666666666666
2025-11-05 13:00:00,25.6,34.86875,987.2102,0.0,0.0,12.961249,307.66568,35.9,76.1,319.0,4.5,11.9,147.0,116.583336,13,5,11,2,0,-0.2588190451025208,-0.9659258262890683,-0.8660254037844386,0.5000000000000001,-0.0159986344145888,117.88542,172.49107,121.484386,4.236889600158682,39.78333333333333
2025-11-05 14:00:00,25.65,27.649048,986.4341,0.0,0.0,13.18308,304.9921,34.0,67.1,347.0,4.8,11.6,146.0,115.60419,14,5,11,2,0,-0.4999999999999997,-0.8660254037844388,-0.8660254037844386,0.5000000000000001,-0.0110453344403968,116.583336,172.06548,119.46355266666669,3.488056514822569,38.05
2025-11-05 15:00:00,24.85,32.93178,986.07513,0.0,0.0,13.072015,308.2902,31.9,59.8,540.0,9.2,11.3,137.0,114.98959,15,5,11,2,0,-0.7071067811865471,-0.7071067811865479,-0.8660254037844386,0.5000000000000001,-0.0083986781439606,115.60419,171.62202,117.84202266666668,2.7369898330000275,36.43333333333333
2025-11-05 16:00:00,23.6,39.564686,985.7758,0.0,0.0,11.282711,303.94363,29.7,53.1,836.0,16.3,11.0,121.0,114.50002,16,5,11,2,0,-0.8660254037844384,-0.5000000000000004,-0.8660254037844386,0.5000000000000001,-0.0053164158395628,114.98959,171.15775,116.56077433333331,1.994577882136831,34.800000000000004
2025-11-05 17:00:00,22.75,42.500282,985.5094,0.0,0.0,10.805998,299.98157,35.9,52.4,1070.0,24.1,9.6,100.0,114.031265,17,5,11,2,0,-0.9659258262890683,-0.25881904510252063,-0.8660254037844386,0.5000000000000001,-0.0042575154622678,114.50002,170.62798,115.59897016666666,1.4306356157929851,34.300000000000004
2025-11-05 18:00:00,21.15,49.109745,985.76416,0.0,0.0,8.29173,297.12122,39.3,53.2,1193.0,30.5,9.8,86.0,113.05211,18,5,11,2,0,-1.0,-1.8369701987210297e-16,-0.8660254037844386,0.5000000000000001,-0.0040939290583592,114.031265,169.39285,114.79341850000002,1.232781754249876,34.45
2025-11-05 19:00:00,19.55,55.491257,986.3097,0.0,0.0,6.889557,303.2749,41.4,54.2,1255.0,39.3,10.1,68.0,112.406265,19,5,11,2,0,-0.9659258262890684,0.2588190451025203,-0.8660254037844386,0.5000000000000001,-0.0085867232476354,113.05211,167.51785,114.09724,1.1987880897501282,35.36666666666667
2025-11-05 20:00:00,18.65,56.764862,986.4265,0.0,0.0,6.66,288.92474,43.0,54.5,1245.0,45.4,10.3,53.0,111.93751,20,5,11,2,0,-0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,-0.0057128075086074,112.406265,165.12798,113.48612666666666,1.2114654558807774,36.86666666666667
2025-11-05 21:00:00,18.1,50.643112,986.7686,0.0,0.0,7.8087645,295.97433,44.6,54.4,1128.0,46.8,10.4,47.0,111.63542,21,5,11,2,0,-0.7071067811865477,0.7071067811865474,-0.8660254037844386,0.5000000000000001,-0.0041701853388523,111.93751,162.4762,112.92709833333332,1.1513366024327978,38.98333333333333
2025-11-05 22:00:00,17.4,47.919556,986.90265,0.0,0.0,8.287822,304.3804,46.1,53.4,940.0,45.5,10.4,44.0,111.55209,22,5,11,2,0,-0.5000000000000004,0.8660254037844384,-0.8660254037844386,0.5000000000000001,-0.0026987376529335,111.63542,160.07144,112.43577666666668,0.9587557902775278,41.71666666666666
2025-11-05 23:00:00,17.2,59.33053,986.7877,0.0,0.0,8.435069,309.8055,44.6,49.2,775.0,42.4,10.3,44.0,111.64584,23,5,11,2,0,-0.25881904510252157,0.9659258262890681,-0.8660254037844386,0.5000000000000001,-0.0007464476107629,111.55209,157.86905,112.03820583333334,0.5875550761226834,43.16666666666666
2025-11-06 00:00:00,16.45,64.56334,986.6245,0.0,0.0,7.7043357,307.40543,42.0,44.7,664.0,36.9,10.0,45.0,111.614586,0,6,11,3,0,0.0,1.0,-0.8660254037844386,0.5000000000000001,0.0008404144789743,111.64584,155.80952,111.7986185,0.3265407783516122,43.61666666666667
2025-11-06 01:00:00,15.9,66.42039,986.47864,0.0,0.0,8.187527,303.34073,39.7,41.3,576.0,29.6,9.6,48.0,111.385414,1,6,11,3,0,0.25881904510252074,0.9659258262890683,-0.8660254037844386,0.5000000000000001,-0.0002799387527615,111.614586,153.875,111.62847666666669,0.1794205276933654,43.333333333333336
2025-11-06 02:00:00,15.55,65.458534,986.2527,0.0,0.0,9.044888,301.15924,37.1,38.3,521.0,23.8,9.3,51.0,111.02083,2,6,11,3,0,0.49999999999999994,0.8660254037844387,-0.8660254037844386,0.5000000000000001,-0.0020532440040369,111.385414,152.02977,111.47569666666668,0.242751366129045,42.35
2025-11-06 03:00:00,15.05,64.47078,986.01337,0.0,0.0,8.587338,303.02386,34.0,35.0,456.0,20.1,9.1,53.0,110.58333,3,6,11,3,0,0.7071067811865475,0.7071067811865476,-0.8660254037844386,0.5000000000000001,-0.0032731751328611,111.02083,150.27083,111.30034833333332,0.4197536480690007,40.583333333333336
2025-11-06 04:00:00,14.4,64.107254,985.8582,0.0,0.0,8.209263,307.87503,31.1,32.0,424.0,17.8,9.0,55.0,109.98957,4,6,11,3,0,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,-0.0039407015835945,110.58333,145.2604,111.03992833333332,0.6525059600239762,38.083333333333336
2025-11-06 05:00:00,14.0,68.06407,986.11475,0.0,0.0,7.491114,305.21768,27.1,27.6,557.0,17.1,9.2,57.0,109.22916,5,6,11,3,0,0.9659258262890683,0.25881904510252074,-0.8660254037844386,0.5000000000000001,-0.0053693440621345,109.98957,140.0729,110.63714833333334,0.9019071768348228,35.166666666666664
2025-11-06 06:00:00,13.15,71.446785,986.623,0.0,0.0,5.796447,306.15826,28.6,29.5,1051.0,23.8,9.3,48.0,107.812485,6,6,11,3,0,1.0,6.123233995736766e-17,-0.8660254037844386,0.5000000000000001,-0.0069134730762678,109.22916,135.34375,110.00346483333334,1.317664043946803,32.93333333333333
2025-11-06 07:00:00,13.6,68.21324,987.24786,0.0,0.0,5.920878,289.53674,32.9,34.0,1711.0,32.7,9.5,37.0,106.41664,7,6,11,3,0,0.9659258262890683,-0.25881904510252063,-0.8660254037844386,0.5000000000000001,-0.0129697497472515,107.812485,131.20834,109.17533583333336,1.7619271100397134,31.8
2025-11-06 08:00:00,15.5,61.58192,988.29443,0.0,0.0,7.1208143,286.1444,35.4,36.3,2080.0,37.0,10.2,37.0,105.17707,8,6,11,3,0,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001,-0.0129469687163811,106.41664,127.72919,108.20137583333332,2.117103123168853,31.51666666666667
2025-11-06 09:00:00,17.85,55.057854,989.0858,0.0,0.0,3.710795,292.83368,31.2,32.7,1884.0,32.3,11.8,58.0,104.23957,9,6,11,3,0,0.7071067811865476,-0.7071067811865475,-0.8660254037844386,0.5000000000000001,-0.0116482712056806,105.17707,124.71877,107.14408249999998,2.268286261621962,31.05
2025-11-06 10:00:00,20.3,46.939827,989.7856,0.0,0.0,3.4623692,297.8972,27.0,29.4,1398.0,22.9,13.8,91.0,103.15626,10,6,11,3,0,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,-0.0089135389573469,104.23957,122.18751,106.0051975,2.2693253509713163,30.366666666666664
2025-11-06 11:00:00,23.05,41.177044,989.6299,0.0,0.0,5.072041,297.47433,27.4,30.4,990.0,15.1,15.0,118.0,101.85416,11,6,11,3,0,0.258819045102521,-0.9659258262890682,-0.8660254037844386,0.5000000000000001,-0.010392501581453,103.15626,119.80209,104.77603083333334,2.1689288462800667,30.416666666666668
2025-11-06 12:00:00,24.55,36.008278,989.0731,0.0,0.0,7.538541,303.31064,28.6,32.0,753.0,9.9,14.8,136.0,100.65625,12,6,11,3,0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,-0.0126225967650828,101.85416,117.88542,103.583325,2.132534580275237,30.416666666666668
2025-11-06 13:00:00,25.35,34.33046,988.6522,0.0,0.0,8.4963045,306.38446,27.8,31.1,594.0,6.3,13.9,149.0,99.72484,13,6,11,3,0,-0.2588190451025208,-0.9659258262890683,-0.8660254037844386,0.5000000000000001,-0.0117610305007639,100.65625,116.583336,102.468025,2.1040621067991,29.566666666666663
2025-11-06 14:00:00,25.65,33.270203,987.8969,0.0,0.0,8.641874,305.67648,25.6,28.6,603.0,7.1,13.1,151.0,99.08805,14,6,11,3,0,-0.4999999999999997,-0.8660254037844388,-0.8660254037844386,0.5000000000000001,-0.0092533738090407,99.72484,115.60419,101.45318833333332,2.002065542127158,27.933333333333337
2025-11-06 15:00:00,25.35,34.21442,987.482,0.0,0.0,7.9036193,300.06848,24.0,26.6,903.0,14.7,12.8,138.0,98.42767,15,6,11,3,0,-0.7071067811865471,-0.7071067811865479,-0.8660254037844386,0.5000000000000001,-0.0063854696196585,99.08805,114.98959,100.48453833333332,1.7777217798551466,26.73333333333333
2025-11-06 16:00:00,23.95,42.979237,987.1704,0.0,0.0,5.5567255,294.90472,23.6,25.7,1372.0,26.8,12.6,115.0,97.80661,16,6,11,3,0,-0.8660254037844384,-0.5000000000000004,-0.8660254037844386,0.5000000000000001,-0.0066645769429736,98.42767,114.50002,99.59293,1.4876077847851064,26.166666666666668
2025-11-06 17:00:00,21.85,52.155716,986.8959,0.0,0.0,5.0432134,272.04535,28.6,29.9,1730.0,45.8,12.4,90.0,97.32705,17,6,11,3,0,-0.9659258262890683,-0.25881904510252063,-0.8660254037844386,0.5000000000000001,-0.0063098104110551,97.80661,114.031265,98.83841166666669,1.2385595000841634,26.366666666666664
2025-11-06 18:00:00,20.95,53.85047,987.4043,0.0,0.0,5.0911684,278.13,33.9,35.0,1858.0,51.9,12.8,77.0,96.75314,18,6,11,3,0,-1.0,-1.8369701987210297e-16,-0.8660254037844386,0.5000000000000001,-0.0049031445928711,97.32705,113.05211,98.18789333333336,1.1112988150707728,27.25
2025-11-06 19:00:00,19.9,56.88692,987.9967,0.0,0.0,5.297018,279.78235,38.0,39.2,1876.0,60.1,13.4,59.0,96.32861,19,6,11,3,0,-0.9659258262890684,0.2588190451025203,-0.8660254037844386,0.5000000000000001,-0.0058967156718799,96.75314,112.406265,97.621855,1.0341429659868877,28.95
2025-11-06 20:00:00,18.65,61.490467,988.2783,0.0,0.0,6.0347,287.3541,41.3,42.7,1861.0,64.8,13.6,46.0,96.06132,20,6,11,3,0,-0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,-0.0043877641193077,96.32861,111.93751,97.1174,0.9061954531498058,31.566666666666663
2025-11-06 21:00:00,17.85,63.170105,988.50104,0.0,0.0,5.9834766,291.16132,45.1,46.6,1854.0,63.3,13.2,42.0,95.927666,21,6,11,3,0,-0.7071067811865477,0.7071067811865474,-0.8660254037844386,0.5000000000000001,-0.0027747724404232,96.06132,111.63542,96.70073266666668,0.7433626994135445,35.083333333333336
